Society,Culture Region,Description,Age of doll,Gender of doll,Clothes,Hair,Face,Materials,Use,Type of Magic,Type of Play,User age,User gender,Maker age,Maker gender,Age at alloparenting,Age at marriage,Source,Children Do Childcare
Haida (2),Northwest Coast and California,"""In order to bewitch individuals, sorcerers would secure spittle or feces (Curtis 1916: 138), pieces of clothing (Collison 1915: 112), or hair-combings (Swanton 1905a: 41) of the intended victim, and in acts of contagious magic, these were ritually manipulated in a secret place. Alternately, a “likeness” (= carving, doll) was made of the victim, and it was manipulated, and a curse was uttered (e.g. Swanton 1908: #83). Collison reported that the “medicine men,” who were his primary adversaries, had “succeeded in obtaining some articles of clothing belonging to me over which they had exhausted all their orgies in vain” (1915: 112)."" pg 193",Adult,,,,,,Magic,Punishment,,,,Adult,,,," (1988) The Curtain within: Haida social and mythical discourse
Section: OF MICE AND MEN
By: Boelscher, Marianne ",
Nuxalk,Northwest Coast and California,"""Some girls have crude wooden dolls, though elaborate figurines are reserved for use in kusiut dances."" pg 382",,,,,,,Play,,,Child,Girl,,,,," (1948) The Bella Coola Indians: volume two
Section: CHAPTER IV GAMES
By: McIlwraith, T. F. (Thomas Forsyth)",
Pomo,Northwest Coast and California,"""The girls made clay dolls"" pg 350",,,,,,Clay,Play,,,Child,Girl,,,,," (1952) Material aspects of Pomo culture
Section: CHILDREN'S GAMES AND TOYS
By: Barrett, S. A. (Samuel Alfred)",
Pomo (2),Northwest Coast and California,"""Dolls also used for pregnancy and for poisoning."" pg 326",,,,,,,Magic,"Fertility, Punishment",,,,,,,," (1952) Material aspects of Pomo culture
Section: GAMES
By: Barrett, S. A. (Samuel Alfred)",
Yokuts,Northwest Coast and California,"""Effigy-making. —The first two days of the week of the mourning ceremony (Monday and Tuesday) are devoted to the construction of the effigy dolls (woi 'doš). These are made by women, one image for each person mourned. The basis of the doll was a cross of wood, the upright staff of which was about 5 feet long, the horizontal about 2-1/2 feet tied on about 18 inches from the top. “It must be high but not too heavy to carry when dancing” (J.P.). In old times the covering of the frame, making a sort of solid body, was of fine tule matting, more recently of calico. If the effigy was of a woman, a little basket cap was put on the head."" pg 127",,,Yes,,,Wood,Magic,"Spirits, Funerary",,,,,,,," (1948) Yokuts and western Mono ethnography: vol. 1, Tulare Lake, Southern Valley, and Central Foothill Yokuts
Section: Ritual Weeping; Effigy-Making
By: Gayton, A. H. (Anna Hadwick)",
Yurok,Northwest Coast and California,"""The girls make dolls out of blue mud and put them into little cradle baskets; but they must not put two dolls together in one cradle—a prohibition probably originating in the Yurok's dislike for twins, who they think may have committed incest in utero. (To warn them, children are told that once long ago some people put two dolls in a basket and the ocean flooded the world.) The girls play cooking and feeding the dolls, using wild celery as food."" pg 289",Infant,,,,,Mud,Play,,Caregiving,Child,Girl,Child,Girl,,," (1943) Observations on the Yurok: childhood and world image
Section: 5
By: Erikson, Erik H. (Erik Homburger)",
Chachi,Northwestern South America,"""Dolls: /náwawa/. Dolls for children were scarce among the Cayapa of the Punta Venado section. Barrett briefly discusses dolls, and the impression received is that they were common. They were always made of a single block of wood, and were carved in both human and animal forms. No measurements are given, but they were very likely similar to the dolls of today, measuring usually twelve to thirteen inches in length and from three to four inches in width. They are most frequently carved out of Guayacan, an extremely hard wood. The one Guayacan doll in my possession is carved in two pieces. It is a seated figure, obviously of a white man, wearing a visored cap, a necktie cut in bas-relief, a jacket, breeches, and boots that are tinted reddish. He is seated in a two-legged chair which is sufficient since his own feet serve as the other two legs. The chair is fastened to the figure by two nails through the bottom, and five nails from the rear."" pg 18",,,Yes,,,Wood,Play,,,Child,,Adult,,,," (1965) The Cayapa: a study in legal behavior
Section: CHAPTER I THE CAYAPA, THEIR TERRITORY AND ECONOMY
By: Altschuler, Milton",
Goajiro,Northwestern South America,""" I used to like to play with clay dolls. I would pretend I was the mother with her children. Once I was so absorbed in my games I forgot about the time and got home late."" pg 52",,,,,,Clay,Play,,Caregiving,Child,Girl,,,,," (1968) Guajiro personality and urbanization
Section: 2. The Predominant Use of Object-oriented Disciplinary Techniques.
By: Watson, Lawrence Craig ",
Nyakyusa and Ngonde,Eastern Africa,"""though Nyakyusa girls mould stylized dolls out of clay almost identical with one shown for the Kisi in F."" pg 97",NA,NA,NA,NA,NA,Clay,Play,,NA,Child,Girl,Child,Girl,,," (1957) Rituals of kinship among the Nyakyusa
Section: ( a ) The events
By: Wilson, Monica Hunter ",
Belau,Oceania,"Absent: ""Little girls do not play with dolls; neither do they “play house.”""",,,,,,,,,,,,,,,,,Girls Only
Chuuk,Oceania,"Absent: ""A notable item of play, missing among the Trukese, is any form of doll.""",,,,,,,,,,,,,,,,,Girls Predominate
Manus,Oceania,"Absent: "" The younger women are more preoccupied with baby tending, which does not interest the little girls and in which their help is not enlisted. Little girls have no dolls and no pattern of playing with babies. """,,,,,,,,,,,,,,,,,
Samoan,Oceania,"Absent: Foreign dolls did not interest them, and they have no dolls of their own, although children of other islands weave dolls from the palm leaves from which Samoan children weave balls. """,,,,,,,,,,,,,,,,,
Trobriand,Oceania,"Absent : ""The children make all manner of quaint toys, drums, canoes, etc., but dolls are unknown. """,,,,,,,,,,,,,,,,,
Okayama,East Asia,"""Girls bounce balls, play jacks, jump rope, draw pictures, and play house with dolls. Elaborate and delicately constructed traditional dolls, kept in glass cases, are owned by households which can afford them, but they are for the visual enjoyment of girls only upon special occasions and may not be handled. Most girls have one or more durable dolls designed for everyday use, and those who have none may fold cushions to represent dolls. Infant boys also have dolls of traditional style but show little or no interest in them once they have begun to talk and associate with other children."" pg 663",NA,NA,NA,NA,NA,NA,Play,,Caregiving,Child,Girl,NA,NA,,,"(1956) Child training in a Japanese fishing community
Section: CHILD TRAINING IN A JAPANESE FISHING COMMUNITY
By: Norbeck, Edward,",
